id,h_e_id,family_number,parking,pet,people,car,,,,
f0010285,001,H栋2022,1,2,6,0,,,,
f0010286,001,H栋2031,0,1,2,1,,,,
f0010287,001,H栋2032,1,1,2,1,,,,
f0010288,001,H栋2041,1,0,1,1,,,,
f0010289,001,H栋2042,1,1,5,0,,,,
f0010290,001,H栋2051,0,0,6,0,,,,
f0010291,001,H栋2052,0,2,1,0,,,,
f0010292,001,H栋2061,1,1,5,0,,,,
f0010293,001,H栋2062,1,2,3,1,,,,
f0010294,001,H栋2071,0,1,1,1,,,,
f0010295,001,H栋2072,0,1,3,1,,,,
f0010296,001,H栋2081,1,0,6,0,,,,
f0010297,001,H栋2082,0,2,8,0,,,,
f0010298,001,H栋2091,0,2,1,0,,,,
f0010299,001,H栋2092,0,1,1,0,,,,
f0010300,001,H栋3011,0,1,2,1,,,,
f002001,002,A栋1011,1,1,5,1,,,,
f002002,002,A栋1012,0,2,4,0,,,,
f002003,002,A栋1021,1,1,6,0,,,,
f002004,002,A栋1022,1,2,5,1,,,,
f002005,002,A栋1031,0,2,6,0,,,,
f002006,002,A栋1032,1,0,6,1,,,,
f002007,002,A栋1041,1,1,6,1,,,,
f002008,002,A栋1042,0,1,2,1,,,,
f002009,002,A栋1051,0,0,7,1,,,,
f002010,002,A栋1052,0,0,7,0,,,,
f002011,002,A栋1061,0,2,5,1,,,,
f002012,002,A栋1062,1,1,8,1,,,,
f002013,002,A栋1071,0,1,6,0,,,,
f002014,002,A栋1072,0,0,4,1,,,,
f002015,002,A栋1081,0,0,5,1,,,,
f002016,002,A栋1082,0,1,8,0,,,,
f002017,002,A栋1091,1,2,6,1,,,,
f002018,002,A栋1092,1,1,4,0,,,,
f002019,002,A栋1101,1,0,4,1,,,,
f002020,002,A栋1102,1,2,2,1,,,,
f002021,002,A栋1111,1,1,4,0,,,,
f002022,002,A栋1112,1,0,7,0,,,,
f002023,002,A栋1121,0,0,5,1,,,,
f002024,002,A栋1122,0,2,1,1,,,,
f002025,002,A栋2011,0,0,3,1,,,,
f002026,002,A栋2012,1,1,1,1,,,,
f002027,002,A栋2021,1,0,6,0,,,,
f002028,002,A栋2022,1,2,7,0,,,,
f002029,002,A栋2031,1,2,6,1,,,,
f002030,002,A栋2032,0,0,7,0,,,,
f002031,002,A栋2041,0,2,8,0,,,,
f002032,002,A栋2042,1,1,8,1,,,,
f002033,002,A栋2051,0,2,6,1,,,,
f002034,002,A栋2052,0,2,1,0,,,,
f002035,002,A栋2061,0,0,2,1,,,,
f002036,002,A栋2062,0,2,1,0,,,,
f002037,002,A栋2071,1,0,3,0,,,,
f002038,002,A栋2072,0,2,5,0,,,,
f002039,002,A栋2081,0,1,7,0,,,,
f002040,002,A栋2082,1,2,6,0,,,,
f002041,002,A栋2091,1,2,5,0,,,,
f002042,002,A栋2092,1,0,2,1,,,,
f002043,002,A栋2101,0,2,1,0,,,,
f002044,002,A栋2102,1,2,5,1,,,,
f002045,002,A栋2111,0,2,1,0,,,,
f002046,002,A栋2112,1,2,3,1,,,,
f002047,002,A栋2121,0,1,8,1,,,,
f002048,002,B栋1011,1,2,2,1,,,,
f002049,002,B栋1012,0,0,6,1,,,,
f002050,002,B栋1021,0,0,4,1,,,,
f002051,002,B栋1022,1,1,2,0,,,,
f002052,002,B栋1031,1,1,2,1,,,,
f002053,002,B栋1032,0,1,5,0,,,,
f002054,002,B栋1041,1,1,8,0,,,,
f002055,002,B栋1042,1,0,6,0,,,,
f002056,002,B栋1051,1,2,3,0,,,,
f002057,002,B栋1052,1,2,8,0,,,,
f002058,002,B栋1061,0,2,8,1,,,,
f002059,002,B栋1062,0,0,6,1,,,,
f002060,002,B栋1071,1,0,5,1,,,,
f002061,002,B栋1072,0,0,1,0,,,,
f002062,002,B栋1081,1,1,5,0,,,,
f002063,002,B栋1082,0,0,8,1,,,,
f002064,002,B栋1091,1,1,7,0,,,,
f002065,002,B栋1092,0,0,8,1,,,,
f002066,002,B栋1101,0,0,6,0,,,,
f002067,002,B栋1102,1,2,6,1,,,,
f002068,002,B栋1111,0,2,1,1,,,,
f002069,002,B栋1112,1,2,8,1,,,,
f002070,002,B栋1121,0,1,2,0,,,,
f002071,002,B栋1122,1,1,5,0,,,,
f002072,002,B栋2011,1,2,2,1,,,,
f002073,002,B栋2012,0,1,7,1,,,,
f002074,002,B栋2021,1,1,2,0,,,,
f002075,002,B栋2022,0,1,6,1,,,,
f002076,002,B栋2031,1,0,7,0,,,,
f002077,002,B栋2032,1,1,5,0,,,,
f002078,002,B栋2041,0,1,7,0,,,,
f002079,002,B栋2042,1,2,6,1,,,,
f002080,002,B栋2051,1,2,4,0,,,,
f002081,002,B栋2052,0,0,3,1,,,,
f002082,002,B栋2061,1,1,8,1,,,,
f002083,002,B栋2062,0,0,8,0,,,,
f002084,002,B栋2071,0,1,5,1,,,,
f002085,002,B栋2072,1,0,7,0,,,,
f002086,002,B栋2081,0,2,1,1,,,,
f002087,002,B栋2082,1,2,1,0,,,,
f002088,002,B栋2091,1,2,5,0,,,,
f002089,002,B栋2092,1,2,3,1,,,,
f002090,002,B栋2101,1,0,7,1,,,,
f002091,002,B栋2102,0,1,2,0,,,,
f002092,002,B栋2111,1,1,6,0,,,,
f002093,002,B栋2112,0,1,7,1,,,,
f002094,002,B栋2121,0,1,1,0,,,,
f002095,002,C栋1011,0,1,8,0,,,,
f002096,002,C栋1012,1,2,1,1,,,,
f002097,002,C栋1021,0,1,5,1,,,,
f002098,002,C栋1022,1,1,3,0,,,,
f002099,002,C栋1031,1,0,7,0,,,,
f002100,002,C栋1032,0,2,6,0,,,,
f002101,002,C栋1041,0,1,6,0,,,,
f002102,002,C栋1042,1,0,2,0,,,,
f002103,002,C栋1051,1,0,2,0,,,,
f002104,002,C栋1052,0,0,4,1,,,,
f002105,002,C栋1061,1,0,5,1,,,,
f002106,002,C栋1062,0,0,8,0,,,,
f002107,002,C栋1071,0,0,1,1,,,,
f002108,002,C栋1072,1,2,2,0,,,,
f002109,002,C栋1081,0,0,6,1,,,,
f002110,002,C栋1082,0,2,3,1,,,,
f002111,002,C栋1091,0,0,5,1,,,,
f002112,002,C栋1092,1,0,4,1,,,,
f002113,002,C栋1101,0,0,7,0,,,,
f002114,002,C栋1102,0,0,2,1,,,,
f002115,002,C栋1111,0,0,7,1,,,,
f002116,002,C栋1112,1,0,1,0,,,,
f002117,002,C栋1121,0,2,8,0,,,,
f002118,002,C栋1122,1,0,8,0,,,,
f002119,002,C栋2011,0,1,2,0,,,,
f002120,002,C栋2012,1,1,3,1,,,,
f002121,002,C栋2021,1,1,3,0,,,,
f002122,002,C栋2022,1,0,4,1,,,,
f002123,002,C栋2031,1,0,8,1,,,,
f002124,002,C栋2032,0,2,4,1,,,,
f002125,002,C栋2041,1,1,5,0,,,,
f002126,002,C栋2042,0,1,1,0,,,,
f002127,002,C栋2051,0,1,2,1,,,,
f002128,002,C栋2052,1,2,7,0,,,,
f002129,002,C栋2061,0,1,3,0,,,,
f002130,002,C栋2062,0,0,3,0,,,,
f002131,002,C栋2071,0,2,7,0,,,,
f002132,002,C栋2072,1,1,1,0,,,,
f002133,002,C栋2081,0,1,3,1,,,,
f002134,002,C栋2082,0,0,6,0,,,,
f002135,002,C栋2091,0,1,8,0,,,,
f002136,002,C栋2092,0,2,8,0,,,,
f002137,002,C栋2101,1,0,3,1,,,,
f002138,002,C栋2102,1,1,3,0,,,,
f002139,002,C栋2111,0,1,2,0,,,,
f002140,002,C栋2112,0,1,2,0,,,,
f002141,002,C栋2121,0,2,2,1,,,,
f002142,002,D栋1011,1,0,4,1,,,,
f002143,002,D栋1012,0,1,1,0,,,,
f002144,002,D栋1021,1,2,3,1,,,,
f002145,002,D栋1022,1,1,8,1,,,,
f002146,002,D栋1031,1,0,6,0,,,,
f002147,002,D栋1032,1,1,2,0,,,,
f002148,002,D栋1041,1,2,3,0,,,,
f002149,002,D栋1042,0,0,3,0,,,,
f002150,002,D栋1051,0,1,4,0,,,,
f002151,002,D栋1052,1,0,6,1,,,,
f002152,002,D栋1061,0,2,5,0,,,,
f002153,002,D栋1062,1,1,7,1,,,,
f002154,002,D栋1071,0,1,8,1,,,,
f002155,002,D栋1072,1,0,5,1,,,,
f002156,002,D栋1081,0,0,4,1,,,,
f002157,002,D栋1082,0,0,1,1,,,,
f002158,002,D栋1091,0,2,7,1,,,,
f002159,002,D栋1092,0,2,8,1,,,,
f002160,002,D栋1101,0,2,5,1,,,,
f002161,002,D栋1102,1,1,1,1,,,,
f002162,002,D栋1111,1,0,6,0,,,,
f002163,002,D栋1112,1,1,3,0,,,,
f002164,002,D栋1121,1,2,5,0,,,,
f002165,002,D栋1122,1,1,8,0,,,,
f002166,002,D栋2011,1,1,6,0,,,,
f002167,002,D栋2012,1,2,4,0,,,,
f002168,002,D栋2021,1,1,7,1,,,,
f002169,002,D栋2022,1,1,5,0,,,,
f002170,002,D栋2031,1,2,8,1,,,,
f002171,002,D栋2032,0,2,5,1,,,,
f002172,002,D栋2041,1,0,5,1,,,,
f002173,002,D栋2042,1,0,8,1,,,,
f002174,002,D栋2051,0,0,6,1,,,,
f002175,002,D栋2052,1,2,5,0,,,,
f002176,002,D栋2061,0,0,5,1,,,,
f002177,002,D栋2062,0,1,2,0,,,,
f002178,002,D栋2071,1,1,8,0,,,,
f002179,002,D栋2072,0,2,4,1,,,,
f002180,002,D栋2081,0,2,8,1,,,,
f002181,002,D栋2082,0,1,8,1,,,,
f002182,002,D栋2091,1,2,8,0,,,,
f002183,002,D栋2092,0,0,4,1,,,,
f002184,002,D栋2101,1,1,5,0,,,,
f002185,002,D栋2102,1,2,2,0,,,,
f002186,002,D栋2111,1,1,2,1,,,,
f002187,002,D栋2112,1,2,0,1,,,,
f002188,002,D栋2121,0,0,8,0,,,,
f002189,002,E栋1011,1,2,1,0,,,,
f002190,002,E栋1012,0,0,5,1,,,,
f002191,002,E栋1021,0,2,0,0,,,,
f002192,002,E栋1022,0,0,8,1,,,,
f002193,002,E栋1031,1,1,1,0,,,,
f002194,002,E栋1032,1,1,7,0,,,,
f002195,002,E栋1041,1,0,8,1,,,,
f002196,002,E栋1042,0,1,5,0,,,,
f002197,002,E栋1051,1,1,7,0,,,,
f002198,002,E栋1052,1,2,6,0,,,,
f002199,002,E栋1061,1,0,0,1,,,,
f002200,002,E栋1062,0,0,8,0,,,,
f002201,002,E栋1071,0,0,0,1,,,,
f002202,002,E栋1072,1,2,0,1,,,,
f002203,002,E栋1081,0,2,1,1,,,,
f002204,002,E栋1082,1,0,3,1,,,,
f002205,002,E栋1091,0,0,1,0,,,,
f002206,002,E栋1092,0,0,2,0,,,,
f002207,002,E栋1101,0,2,2,1,,,,
f002208,002,E栋1102,1,0,4,1,,,,
f002209,002,E栋1111,0,2,1,1,,,,
f002210,002,E栋1112,0,1,2,0,,,,
f002211,002,E栋1121,0,2,7,0,,,,
f002212,002,E栋1122,1,2,7,0,,,,
f002213,002,E栋2011,1,1,7,0,,,,
f002214,002,E栋2012,0,2,6,0,,,,
f002215,002,E栋2021,1,2,5,0,,,,
f002216,002,E栋2022,1,1,6,0,,,,
f002217,002,E栋2031,0,0,6,0,,,,
f002218,002,E栋2032,1,2,0,0,,,,
f002219,002,E栋2041,1,2,7,0,,,,
f002220,002,E栋2042,0,2,4,0,,,,
f002221,002,E栋2051,1,0,8,1,,,,
f002222,002,E栋2052,1,1,6,1,,,,
f002223,002,E栋2061,1,0,7,1,,,,
f002224,002,E栋2062,1,1,1,0,,,,
f002225,002,E栋2071,0,0,4,0,,,,
f002226,002,E栋2072,1,1,6,0,,,,
f002227,002,E栋2081,0,0,7,1,,,,
f002228,002,E栋2082,1,1,7,1,,,,
f002229,002,E栋2091,0,2,4,0,,,,
f002230,002,E栋2092,0,2,2,1,,,,
f002231,002,E栋2101,0,0,1,0,,,,
f002232,002,E栋2102,1,2,3,1,,,,
f002233,002,E栋2111,0,1,8,1,,,,
f002234,002,E栋2112,1,2,7,0,,,,
f002235,002,F栋1011,0,0,4,0,,,,
f002236,002,F栋1012,1,1,0,0,,,,
f002237,002,F栋1021,0,0,8,0,,,,
f002238,002,F栋1022,0,1,2,1,,,,
f002239,002,F栋1031,1,2,4,1,,,,
f002240,002,F栋1032,1,1,4,0,,,,
f002241,002,F栋1041,0,1,0,1,,,,
f002242,002,F栋1042,1,1,2,1,,,,
f002243,002,F栋1051,0,0,6,0,,,,
f002244,002,F栋1052,0,0,5,0,,,,
f002245,002,F栋1061,0,2,3,1,,,,
f002246,002,F栋1062,1,0,4,1,,,,
f002247,002,F栋1071,1,2,1,1,,,,
f002248,002,F栋1072,0,0,3,0,,,,
f002249,002,F栋1081,1,2,3,0,,,,
f002250,002,F栋1082,1,2,0,1,,,,
f002251,002,F栋1091,0,1,5,1,,,,
f002252,002,F栋1092,0,1,3,1,,,,
f002253,002,F栋1101,0,2,0,0,,,,
f002254,002,F栋1102,0,1,1,0,,,,
f002255,002,F栋1111,1,2,1,1,,,,
f002256,002,F栋1112,1,0,0,1,,,,
f002257,002,F栋1121,1,2,2,0,,,,
f002258,002,F栋1122,1,2,2,0,,,,
f002259,002,F栋2011,1,2,3,0,,,,
f002260,002,F栋2012,1,2,0,1,,,,
f002261,002,F栋2021,0,2,6,0,,,,
f002262,002,F栋2022,0,2,8,0,,,,
f002263,002,F栋2031,0,2,1,0,,,,
f002264,002,F栋2032,1,0,1,0,,,,
f002265,002,F栋2041,1,2,7,1,,,,
f002266,002,F栋2042,1,1,0,0,,,,
f002267,002,F栋2051,0,1,6,1,,,,
f002268,002,F栋2052,1,0,1,1,,,,
f002269,002,F栋2061,0,2,7,1,,,,
f002270,002,F栋2062,0,0,7,1,,,,
f002271,002,F栋2071,1,2,8,0,,,,
f002272,002,F栋2072,1,1,0,1,,,,
f002273,002,F栋2081,0,0,4,1,,,,
f002274,002,F栋2082,1,0,2,0,,,,
f002275,002,F栋2091,0,1,5,0,,,,
f002276,002,F栋2092,1,2,0,0,,,,
f002277,002,F栋2101,1,2,3,0,,,,
f002278,002,F栋2102,0,1,1,0,,,,
f002279,002,F栋2111,1,0,3,1,,,,
f002280,002,F栋2112,1,2,5,1,,,,
